Role,Description,Responsibilities,Keywords,Positive keywords,Negative keywords,Related roles
Designer,"Designs layouts, interfaces, visuals, and user-facing materials that improve usability and communication.","create layouts; design interfaces; improve user experience; prepare visual materials; support accessibility; prototype designs","visual design, user experience, design, graphic design, ui, ux, prototyping, visual, layout, interface, accessibility","design, UI, UX, layout, visual, interface, accessibility, prototyping, user experience, graphic design","poor layout, inaccessible, unclear visuals, no design experience, difficult interface, inconsistent formatting","Developer, Writer, Communications Specialist"

Writer,"Creates written content, reports, documentation, manuals, and communication materials.","write reports; prepare documentation; edit text; create guides; draft communications; organize written content","content creation, editing, writing, blogging, drafting, guidelines, manual, documentation, copywriting, creative writing, technical writing, communication, grammar, spelling, report","writing, documentation, report, editing, grammar, communication, drafting, technical writing, manuals, guidelines, clarity","poor writing, unclear communication, grammar issues, weak documentation, incomplete reports, disorganized writing","Reviewer, Designer, Project Manager, Documentation Specialist"

Reviewer,"Reviews work for quality, accuracy, clarity, completeness, and alignment with requirements.","review documents; check outputs; provide feedback; verify quality; assess accuracy; identify missing information","review, reviewing, feedback, quality, accuracy, editing, evaluation, assessment, proofreading, clarity, verification","review, feedback, quality, accuracy, proofreading, verification, editing, assessment, detail-oriented, evaluation","misses errors, poor attention to detail, no review experience, unclear feedback, incomplete review, accepts errors","Writer, Tester, Researcher, Quality Assurance Specialist"

Researcher,"Finds, analyzes, and summarizes information to support decisions, guidelines, and project planning.","gather information; analyze sources; summarize findings; compare options; support recommendations; investigate requirements","research, analysis, analyze, information gathering, evidence, literature, policy, guideline, recommendation, investigation, summary","research, analysis, investigation, evidence, policy, guideline, literature, summarize, recommendation, information gathering","unsupported claims, poor research, no evidence, incomplete analysis, weak sources, surface-level review","Writer, Reviewer, Project Manager, Business Analyst"

Accountant,"Handles budgets, financial records, reporting, and cost-related work.","prepare budgets; review financial records; analyze costs; manage spreadsheets; support financial reporting; track expenses","financial reporting, tax preparation, accounting, budgeting, financial analysis, bookkeeping, finance, ledger, audit, excel, spreadsheet, spreadsheets, budget, reporting, cost, financial","accounting, budgeting, finance, financial reporting, spreadsheets, Excel, cost analysis, audit, bookkeeping, ledger","poor numeracy, no accounting experience, inaccurate financial work, weak spreadsheet skills, budget errors","Coordinator, Reviewer, Data Analyst"

Business Analyst,"Analyzes business needs, requirements, processes, and stakeholder expectations to support project decisions.","gather requirements; analyze processes; document needs; communicate with stakeholders; support decision-making; identify improvements","requirements, business analysis, process, stakeholder, workflow, documentation, analysis, improvement, decision support","requirements gathering, process analysis, stakeholder communication, workflow, documentation, analysis, problem solving, improvement","unclear requirements, weak analysis, poor stakeholder communication, no process understanding, incomplete documentation","Project Manager, Systems Analyst, Researcher, Coordinator"

Systems Analyst,"Analyzes technical systems, user needs, workflows, and system requirements to support implementation or improvement.","analyze systems; document technical requirements; connect user needs to system design; evaluate workflows; support implementation planning","systems analysis, requirements, technical analysis, workflow, system design, process analysis, implementation, user needs","systems analysis, technical requirements, workflow, implementation planning, system design, troubleshooting, user needs, process improvement","limited technical analysis, unclear requirements, poor systems understanding, weak documentation, no workflow knowledge","Developer, Business Analyst, Technical Support Specialist, Project Manager"

Technical Support Specialist,"Provides user support, troubleshooting, issue diagnosis, and technical assistance for systems and services.","respond to support requests; diagnose issues; troubleshoot systems; document fixes; assist users; escalate complex problems","technical support, help desk, troubleshooting, user support, tickets, issue resolution, diagnosis, service desk","troubleshooting, user support, help desk, issue resolution, diagnosis, service desk, communication, technical assistance","poor communication, weak troubleshooting, ignores users, unresolved tickets, no support experience, poor documentation","Systems Analyst, Developer, Network Technician, Trainer"

Network Technician,"Supports, configures, troubleshoots, and maintains network infrastructure and connectivity.","configure network devices; troubleshoot connectivity; monitor network performance; support cabling; maintain routers and switches","networking, network support, routing, switching, connectivity, cabling, firewall, infrastructure, troubleshooting, routers, switches","networking, routing, switching, connectivity, firewall, cabling, infrastructure, troubleshooting, routers, switches","no networking experience, poor troubleshooting, unfamiliar with routers, unfamiliar with switches, weak infrastructure knowledge","Security Analyst, Technical Support Specialist, Systems Analyst"

Security Analyst,"Assesses, protects, and monitors systems or networks for security risks and vulnerabilities.","monitor security risks; review access controls; support incident response; assess vulnerabilities; document security issues; recommend protections","security, cybersecurity, risk, vulnerability, firewall, access control, incident response, monitoring, compliance, threat","cybersecurity, security, firewall, vulnerability, risk assessment, incident response, access control, monitoring, compliance","ignores security, poor risk awareness, no cybersecurity experience, weak access control, unsafe practices","Network Technician, Systems Analyst, Developer, Reviewer"

Data Analyst,"Analyzes data, prepares reports, identifies patterns, and supports evidence-based decision-making.","clean data; analyze datasets; create reports; build dashboards; interpret trends; support decisions with evidence","data analysis, analytics, reporting, dashboard, spreadsheet, excel, visualization, statistics, trends, data cleaning","data analysis, reporting, Excel, dashboard, analytics, visualization, statistics, trends, evidence-based, data cleaning","poor data quality, weak analysis, inaccurate reports, no spreadsheet skill, unsupported conclusions, misinterprets data","Researcher, Accountant, Business Analyst, Data Engineer"

Data Engineer,"Designs, builds, and maintains data pipelines, databases, and data infrastructure for reliable data use.","build data pipelines; manage databases; support ETL processes; structure data; maintain data infrastructure; automate data workflows","data engineering, data pipeline, etl, database, sql, python, data warehouse, automation, cloud, data architecture","SQL, Python, ETL, data pipeline, database, data warehouse, automation, cloud, data architecture, data infrastructure","no database experience, limited data experience, unfamiliar with SQL, poor data pipeline knowledge, weak automation","Developer, Programmer, Data Analyst, Database Administrator"

Database Administrator,"Maintains, secures, organizes, and optimizes databases for reliability, access, and performance.","manage databases; monitor performance; maintain backups; support data security; optimize queries; manage access controls","database, database administration, sql, backup, data security, query optimization, access control, performance, reliability","database, SQL, backup, query optimization, access control, performance, reliability, data security, administration","no SQL experience, poor database knowledge, weak backup practices, data loss risk, poor access control","Data Engineer, Security Analyst, Systems Analyst"

Documentation Specialist,"Creates, maintains, organizes, and improves technical or procedural documentation.","write documentation; maintain guides; organize procedures; update manuals; standardize instructions; support knowledge sharing","documentation, technical writing, procedure, guide, manual, knowledge base, instructions, editing, standards","documentation, guide, manual, procedure, knowledge base, technical writing, editing, clarity, standardization","unclear documentation, outdated guides, poor writing, incomplete procedures, disorganized information","Writer, Reviewer, Trainer, Technical Support Specialist"

Trainer,"Teaches users or team members how to use systems, follow processes, or understand new tools.","develop training materials; deliver training; explain systems; support adoption; answer user questions; create learning resources","training, teaching, instruction, onboarding, learning, user support, workshop, presentation, education, guidance","training, teaching, instruction, onboarding, workshop, presentation, guidance, communication, user support","poor explanation, no training experience, unclear instruction, weak communication, impatient, poor user support","Documentation Specialist, Technical Support Specialist, Communications Specialist"

Communications Specialist,"Prepares clear communication materials and supports messaging between stakeholders or user groups.","draft announcements; prepare communication plans; write updates; coordinate messaging; support stakeholder communication; edit public-facing content","communication, communications, messaging, announcement, stakeholder, writing, editing, presentation, outreach, updates","communication, messaging, stakeholder communication, announcements, writing, editing, outreach, updates, presentation","unclear messaging, poor writing, weak stakeholder communication, inconsistent updates, confusing announcements","Writer, Coordinator, Trainer, Project Manager"

Procurement Specialist,"Supports purchasing, vendor coordination, asset acquisition, and procurement documentation.","prepare purchase requests; coordinate vendors; track assets; review quotes; support procurement records; follow purchasing procedures","procurement, purchasing, vendor, quote, asset, inventory, acquisition, supplier, contract, ordering","procurement, purchasing, vendor coordination, quotes, inventory, assets, supplier, ordering, records","poor vendor communication, weak record keeping, no procurement experience, ordering errors, incomplete tracking","Accountant, Coordinator, Project Manager"

Quality Assurance Specialist,"Ensures outputs meet requirements through testing, review, validation, and quality-control processes.","define quality checks; validate outputs; review defects; document issues; confirm requirements; improve quality processes","quality assurance, quality control, testing, validation, review, defects, requirements, verification, accuracy","quality assurance, validation, verification, requirements, accuracy, defect tracking, testing, review, quality control","misses defects, poor validation, ignores requirements, weak attention to detail, incomplete testing","Tester, Reviewer, Project Manager"
